Investor;Time of investment;Company;Industry;Vertical;Employees;Postal code;Region;Invested amount (DKK);Source;# of investors in round;CVR;GP2019;GP2020;GP2021;GP2022;Valuta ;AvgYearlyGrowth;InvestorCountry;# Danish investors;# intertiol investors;Time of first venture investment in company;Series;Betweenness;Degree_centralization;Normalized_degree_centralization;Binary_degree_centralization;Binary_normalized_degree_centralization
Right Side Capital Magement;2017-02-01 00.00.00;Ernit;IT;Fintech;3;1850;Hovedstaden;5000000;berlingske.dk;2;36920920;;;;;-;;US;1;1;2017-02-01 00.00.00;Pre-Seed;0;0;0;0;0
Insight Venture Partners;2018-02-01 00.00.00;Templafy;IT;SaaS/Enterprise solutions;28;1403;Hovedstaden;100000000;templafy.com;3;25662946;-10211000;-27525000;8200000;;DKK;;US;1;2;2014-06-01 00.00.00;Late-stage;0;2;0,045454545;2;0,054054054
AMP Ventures;2017-06-01 00.00.00;Spektral;IT;AI;14,5;1850;Hovedstaden;20000000;innovationsfonden.dk;2;33591926;;;;;-;;US;0;2;2015-03-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
Bose Ventures;2019-03-01 00.00.00;Whispr;IT;AI;;1573;Hovedstaden;5000000;berlingske.dk;2;40154426;;;;;-;;US;0;2;2019-03-01 00.00.00;Pre-Seed;0;0;0;0;0
LiteCap;2017-06-01 00.00.00;Spektral;IT;AI;14,5;1850;Hovedstaden;20000000;innovationsfonden.dk;2;33591926;;;;;-;;US;0;2;2015-03-01 00.00.00;Seed;143;3;0,068181818;3;0,081081081
14W;2019-09-01 00.00.00;Simple Feast;Other;FoodTech;19;1432;Hovedstaden;225000000;sifted.eu;4;36464127;-25177000;-2352000;-5391000;;DKK;;US;1;3;2018-08-01 00.00.00;Late-stage;0;3;0,068181818;3;0,081081081
14W;2018-08-01 00.00.00;Simple Feast;Other;FoodTech;16;1432;Hovedstaden;78000000;borsen.dk;4;36464127;-25177000;-2352000;-5391000;;DKK;;US;1;3;2018-08-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
1Up Ventures;2019-09-01 00.00.00;BetaDwarf;Other;Gaming;9;2400;Hovedstaden;44000000;berlingske.dk;4;34729077;4828000;10218000;4239000;2356000;DKK;;US;0;4;2012-01-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
Aquiline;2019-01-01 00.00.00;GAN Integrity Solutions;IT;SaaS/Enterprise solutions;38;1306;Hovedstaden;100000000;borsen.dk;5;28279779;9431000;19308000;19795000;;DKK;;US;1;4;2017-08-01 00.00.00;Late-stage;0;4;0,090909091;4;0,108108108
AV8 Ventures;2019-09-01 00.00.00;Uizard Technologies;IT;AI;4;1456;Hovedstaden;18500000;nordic9.com;4;39165341;-1734000;-2072000;-7521000;;DKK;;US;1;3;2018-05-01 00.00.00;Seed;0;6;0,136363636;6;0,162162162
Bonfire Ventures;2018-06-01 00.00.00;NordSense;CleanTech;CleanTech;9;1256;Hovedstaden;13000000;borsen.dk;4;36693347;-5977000;-7302000;-9794000;;DKK;;US;0;4;2017-09-01 00.00.00;Seed;0;3;0,068181818;3;0,081081081
Chicago Ventures;2019-01-01 00.00.00;GAN Integrity Solutions;IT;SaaS/Enterprise solutions;38;1306;Hovedstaden;100000000;borsen.dk;5;28279779;9431000;19308000;19795000;;DKK;;US;1;4;2017-08-01 00.00.00;Late-stage;0;4;0,090909091;4;0,108108108
Commerce Ventures;2018-12-01 00.00.00;Cylindo;IT;SaaS/Marketing;1;2300;Hovedstaden;13000000;bootstrapping.dk;2;34478171;2897000;10643000;22925000;29239000;DKK;;US;0;2;2014-06-01 00.00.00;Seed-Bridge;0;2;0,045454545;2;0,054054054
CourtsideVC;2019-07-01 00.00.00;Veo (Veo Technologies);IT;AI;13;2200;Hovedstaden;40000000;borsen.dk;1;37240834;3779000;9414000;7570000;;DKK;;US;0;1;2017-06-01 00.00.00;Early-Bridge;0;2;0,045454545;2;0,054054054
e.ventures;2019-07-01 00.00.00;Podimo;IT;SaaS/Digital Media;15;1202;Hovedstaden;45000000;techcrunch.com;2;40447024;-16883448;-24652000;-55527000;;DKK;;US;1;1;2019-07-01 00.00.00;Early-stage;285;3;0,068181818;3;0,081081081
e.ventures;2019-04-01 00.00.00;Leapwork;IT;SaaS/Enterprise solutions;10;2000;Hovedstaden;66000000;computerworld.dk;2;36924225;2224000;8611000;-39717000;;DKK;;US;0;2;2019-04-01 00.00.00;Early-stage;285;3;0,068181818;3;0,081081081
e.ventures;2019-02-01 00.00.00;ViaBill;IT;Fintech;20;8000;Midtjylland;65000000;fins.borsen.dk;2;33245564;;;;;DKK;;US;0;2;2012-07-01 00.00.00;Early-stage;285;3;0,068181818;3;0,081081081
Edison Partners;2019-01-01 00.00.00;GAN Integrity Solutions;IT;SaaS/Enterprise solutions;38;1306;Hovedstaden;100000000;borsen.dk;5;28279779;9431000;19308000;19795000;;DKK;;US;1;4;2017-08-01 00.00.00;Late-stage;0;4;0,090909091;4;0,108108108
Entangled Group;2019-04-01 00.00.00;Labster;IT;SaaS/EdTech;35;1434;Hovedstaden;140000000;horten.dk;7;34457808;6210000;33904000;-72268000;;DKK;;US;0;7;2017-09-01 00.00.00;Late-stage;0;6;0,136363636;6;0,162162162
Everblue Magement;2019-09-01 00.00.00;BetaDwarf;Other;Gaming;9;2400;Hovedstaden;44000000;berlingske.dk;4;34729077;4828000;10218000;4239000;2356000;DKK;;US;0;4;2012-01-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
Evolution Equity Partners;2017-04-01 00.00.00;LogPoint;IT;SaaS/Security;14,5;2100;Hovedstaden;64500000;logpoint.com;1;26301939;5266000;9876000;2853000;;DKK;;US;0;1;2012-01-01 00.00.00;Early-stage;0;0;0;0;0
Gradient Ventures;2019-11-01 00.00.00;Contractbook;IT;LegalTech;7;2150;Hovedstaden;26000000;techsavvy.media;2;36890649;-1522000;-2778000;-12929000;;DKK;;US;1;1;2019-11-01 00.00.00;Early-stage;0;1;0,022727273;1;0,027027027
Insight Venture Partners;2018-11-01 00.00.00;Templafy;IT;SaaS/Enterprise solutions;28;1403;Hovedstaden;95000000;templafy.com;4;25662946;-10211000;-27525000;8200000;;DKK;;US;2;2;2014-06-01 00.00.00;Growth;0;2;0,045454545;2;0,054054054
LDV Capital;2019-09-01 00.00.00;Uizard Technologies;IT;AI;4;1456;Hovedstaden;18500000;nordic9.com;4;39165341;-1734000;-2072000;-7521000;;DKK;;US;1;3;2018-05-01 00.00.00;Seed;0;6;0,136363636;6;0,162162162
LDV Capital;2018-05-01 00.00.00;Uizard Technologies;IT;AI;4;1456;Hovedstaden;5000000;itu.dk;5;39165341;-1734000;-2072000;-7521000;;DKK;;US;1;4;2018-05-01 00.00.00;Pre-Seed;0;6;0,136363636;6;0,162162162
Learn Capital;2017-12-01 00.00.00;Peergrade;IT;SaaS/EdTech;8;2200;Hovedstaden;9450000;marketbrief.edweek.org;6;36999551;1685000;521000;230000;2350000;DKK;;US;2;4;2016-08-01 00.00.00;Seed;0;6;0,136363636;6;0,162162162
LiteCap;2018-12-01 00.00.00;Cylindo;IT;SaaS/Marketing;1;2300;Hovedstaden;13000000;bootstrapping.dk;2;34478171;2897000;10643000;22925000;29239000;DKK;;US;0;2;2014-06-01 00.00.00;Seed-Bridge;143;3;0,068181818;3;0,081081081
Makers Fund;2019-09-01 00.00.00;BetaDwarf;Other;Gaming;9;2400;Hovedstaden;44000000;berlingske.dk;4;34729077;4828000;10218000;4239000;2356000;DKK;;US;0;4;2012-01-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
